ocid,tender_id,tender_title,tender_description,buyer_id,buyer_name,supplier_id,supplier_name,tender_value_amount,award_value_amount,currency,tender_datePublished,award_date,tender_procurementMethod,tender_mainProcurementCategory,tender_status
ocds-20h3g7-12617010,12617010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 15 M - (Saluran) - Paket GG3",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,5055010.0-1,PT. MITRA CIPTA ENGINEERING,426207200,371772300,IDR,2024-02-29,2024-04-22,open,services,complete
ocds-20h3g7-12618010,12618010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 15 M - (Saluran) - Paket GG4",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1152010.0-1,CV. Intishar Karya,426207200,385192200,IDR,2024-02-29,2024-04-22,open,services,complete
ocds-20h3g7-12619010,12619010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 10 M - (Saluran) - Paket G3",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1152010.0-1,CV. Intishar Karya,299587046,272360700,IDR,2024-02-29,2024-04-22,open,services,complete
ocds-20h3g7-12620010,12620010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 10 M - (Saluran) - Paket G4",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,4129010.0-1,CV. MAKARYA ENGINEERING,299587046,261247380,IDR,2024-02-29,2024-04-22,open,services,complete
ocds-20h3g7-12621010,12621010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 10 M - (Saluran) - Paket G5",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,3434015.0-1,CV. CIPTA SURAMADU CONSULTANT,299587046,250649100,IDR,2024-02-29,2024-04-22,open,services,complete
ocds-20h3g7-12622010,12622010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 10 M - (Saluran) - Paket G6",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,521104.0-1,PT. DUTA BHUANA JAYA,299587046,249528000,IDR,2024-02-29,2024-04-22,open,services,complete
ocds-20h3g7-12626010,12626010,Pembangunan Saluran U-Ditch 150/150 dengan Cover Gandar 15 ton (JL. BIBIS KARAH DEPAN KANTOR KELURAHAN MENUJU KE POMPA SWK KARAH),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,4178010.0-1,CV. RIZQUNA,6425492053,5264161112,IDR,2024-02-29,2024-03-21,open,works,complete
ocds-20h3g7-12628010,12628010,Pembangunan Saluran U-Ditch 100/100 dengan Cover Gandar 10 ton (JL. BULAKSARI (DEPAN BALAI RW.06)),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,5562010.0-1,PT. DUTA PERSADA RAYA,4538899327,4079839126,IDR,2024-02-29,2024-03-19,open,works,complete
ocds-20h3g7-12629010,12629010,Bangunan Khusus (PEMBANGUNAN RUMAH POMPA PUCANG ANOM TIMUR),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,854072.0-1,PT. ARISCO CIPTA GRAHA SARANA,18356947625,17994722850,IDR,2024-03-01,2024-03-15,open,works,complete
ocds-20h3g7-12630010,12630010,Pembangunan Saluran Top-Bottom 200/200 Gandar 20 ton (((JL. MAYJEN SUNGKONO SISI UTARA))),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1958020.0-1,PT. Bumi Aceh Citra Persada,33329082187,29955249790.2,IDR,2024-03-15,2024-04-04,open,works,complete
